"NHS_Trust
",Num_op_Normal,Impat_Readd_SSI_Normal,Years recorded,,,,,
Taunton and Somerset NHS Foundation Trust,784,0,2,,,,,
The Dudley Group NHS Foundation Trust,768,0,2,,,,,
The Hillingdon Hospitals NHS Foundation Trust,1010,2,4,,,,,
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,2118,10,5,,,,,
The Princess Alexandra Hospital NHS Trust,983,9,5,,,,,
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",1181,1,5,,,,,
The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,6801,37,5,,,,,
The Rotherham NHS Foundation Trust,532,0,2,,,,,
The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,2165,5,3,,,,,
The Royal Orthopaedic Hospital NHS Foundation Trust,6036,37,5,,,,,
The Royal Wolverhampton NHS Trust,2763,22,5,,,,,
The Whittington Health NHS Trust,537,0,3,,,,,
Torbay and South Devon NHS Foundation Trust,912,0,4,,,,,
United Lincolnshire Hospitals NHS Trust,917,0,5,,,,,
University College London Hospitals NHS Foundation Trust,1916,16,5,,,,,
University Hospital Southampton NHS Foundation Trust,1382,8,5,,,,,
University Hospitals Bristol and Weston NHS Foundation Trust,90,1,2,,,,,
University Hospitals Bristol NHS Foundation Trust,78,0,3,,,,,
University Hospitals Coventry and Warwickshire NHS Trust,2442,1,5,,,,,
University Hospitals Dorset NHS Foundation Trust,325,0,1,,,,,
University Hospitals of Derby and Burton NHS Foundation Trust,739,0,2,,,,,
University Hospitals of Leicester NHS Trust,2169,8,5,,,,,
University Hospitals of Morecambe Bay NHS Foundation Trust,2504,6,5,,,,,
University Hospitals of North Midlands NHS Trust,360,8,1,,,,,
University Hospitals Plymouth NHS Trust,1235,13,5,,,,,
University Hospitals Sussex NHS Foundation Trust,551,8,1,,,,,
Walsall Healthcare NHS Trust,640,6,5,,,,,
Warrington and Halton Hospitals NHS Foundation Trust,1227,3,5,,,,,
West Hertfordshire Hospitals NHS Trust,1561,4,5,,,,,
West Suffolk NHS Foundation Trust,1379,2,5,,,,,
Western Sussex Hospitals NHS Foundation Trust,2144,24,4,,,,,
Weston Area Health NHS Trust,657,5,3,,,,,
Wirral University Teaching Hospital NHS Foundation Trust,760,9,3,,,,,
Worcestershire Acute Hospitals NHS Trust,1369,2,5,,,,,
"Wrightington, Wigan and Leigh NHS Foundation Trust",6474,25,5,,,,,
Wye Valley NHS Trust,1047,1,4,,,,,
Yeovil District Hospital NHS Foundation Trust,1028,2,4,,,,,
York and Scarborough Teaching Hospitals NHS Foundation Trust,328,0,1,,,,,
York Teaching Hospital NHS Foundation Trust,2667,16,4,,,,,
